Ticker,Sector,Portfolio A (₹),Portfolio A Weight (%),Portfolio B (₹),Portfolio B Weight (%)
APOLLOHOSP,Pharma,66666.67,6.67,96040.4,9.6
AXISBANK,Banking,66666.67,6.67,486.94,0.05
CIPLA,Pharma,66666.67,6.67,91291.24,9.13
DIVISLAB,Pharma,66666.67,6.67,127273.2,12.73
DRREDDY,Pharma,66666.67,6.67,140280.78,14.03
HCLTECH,IT,66666.67,6.67,112179.64,11.22
HDFCBANK,Banking,66666.67,6.67,0.0,0.0
ICICIBANK,Banking,66666.67,6.67,43057.78,4.31
INFY,IT,66666.67,6.67,22034.68,2.2
KOTAKBANK,Banking,66666.67,6.67,0.0,0.0
SBIN,Banking,66666.67,6.67,13517.14,1.35
SUNPHARMA,Pharma,66666.67,6.67,211004.29,21.1
TCS,IT,66666.67,6.67,34639.24,3.46
TECHM,IT,66666.67,6.67,70898.88,7.09
WIPRO,IT,66666.67,6.67,37295.79,3.73
