Ticker,Sector,SMA-50,SMA-200,Signal,Last Crossover Date
APOLLOHOSP,Pharma,7050.71,6559.55,Golden Cross,N/A
AXISBANK,Banking,1144.55,1160.8,Death Cross,2024-12-12
CIPLA,Pharma,1487.43,1492.87,Death Cross,2024-12-24
DIVISLAB,Pharma,5901.81,4838.6,Golden Cross,2024-05-16
DRREDDY,Pharma,1263.89,1267.88,Death Cross,2024-12-13
HCLTECH,IT,1792.28,1558.68,Golden Cross,2024-07-22
HDFCBANK,Banking,876.15,804.55,Golden Cross,2024-06-19
ICICIBANK,Banking,1282.17,1188.17,Golden Cross,N/A
INFY,IT,1825.72,1648.63,Golden Cross,2024-07-12
KOTAKBANK,Banking,352.1,353.36,Death Cross,2024-12-26
SBIN,Banking,812.27,795.13,Golden Cross,N/A
SUNPHARMA,Pharma,1789.64,1661.11,Golden Cross,N/A
TCS,IT,3988.23,3898.45,Golden Cross,N/A
TECHM,IT,1665.61,1439.69,Golden Cross,N/A
WIPRO,IT,271.8,244.06,Golden Cross,N/A
